,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2019-04-26,57.2,57.95,56.65,57.26,1556997.0,198.9292,198.2484,191.4498,56.3311,55.6621,55.6217,51.265
2019-04-29,57.61,58.37,57.03,57.66,1517467.0,199.751,198.8204,191.5815,56.7842,55.9082,55.7171,51.2881
2019-04-30,56.5,56.94,55.375,56.67,2242988.0,199.8345,199.0351,191.693,56.8188,56.002,55.7751,51.2906
2019-05-01,57.1,57.42,55.8,55.82,1501949.0,199.179,198.8229,191.7748,56.9524,56.1309,55.8263,51.2977
2019-05-02,55.77,56.5009,54.04,54.89,1447965.0,199.1502,198.872,191.8717,56.8521,56.1646,55.8586,51.2938
2019-05-03,55.08,56.73,54.55,56.46,1657836.0,200.514,199.6664,192.0223,56.8249,56.216,55.9034,51.3004
2019-05-06,54.92,56.72,54.21,55.89,1610917.0,201.5516,200.3865,192.176,56.8016,56.2618,55.952,51.311
2019-05-07,54.98,55.5,52.31,53.23,2198813.0,200.7386,200.1549,192.2679,56.5124,56.1925,55.9626,51.3195
2019-05-08,53.22,53.98,52.69,53.59,1481126.0,199.8673,199.7858,192.3455,55.9496,55.9914,55.9372,51.3256
2019-05-09,52.78,54.0,51.52,53.5,1320747.0,199.0461,199.3526,192.4125,55.5164,55.8104,55.8926,51.3163
2019-05-10,53.05,53.8823,50.95,53.05,1398468.0,198.4821,198.9893,192.4779,55.1532,55.6351,55.8566,51.2982
2019-05-13,51.42,51.77,50.02,50.42,1607388.0,195.9001,197.4887,192.4549,54.4014,55.2837,55.7582,51.2788
2019-05-14,51.0,52.84,50.9,52.54,2335795.0,195.0348,196.7279,192.4661,54.0544,55.0616,55.6772,51.2636
2019-05-15,52.29,53.9,52.0,53.67,1300463.0,194.8201,196.303,192.4916,54.0201,54.956,55.6352,51.2481
2019-05-16,53.69,55.32,53.69,54.74,1393606.0,195.1413,196.2085,192.5352,54.309,54.9891,55.622,51.2485
2019-05-17,54.22,54.84,53.55,53.59,1017436.0,194.4071,195.614,192.5406,54.427,54.9755,55.5988,51.2479
2019-05-20,52.77,53.69,51.9,53.17,1000000.0,193.4237,194.8582,192.5262,54.2632,54.8586,55.5506,51.2356
2019-05-21,53.81,54.94,53.81,54.76,1353065.0,193.8383,194.8235,192.5546,54.4136,54.866,55.4946,51.2144
2019-05-22,54.59,55.28,54.02,54.78,1898654.0,193.578,194.5024,192.5612,54.6061,54.9037,55.4406,51.1928
2019-05-23,53.98,54.0,52.52,53.21,1248918.0,192.1235,193.541,192.5169,54.4714,54.8215,55.3628,51.1608
2019-05-24,53.76,54.76,53.51,54.1,988684.0,191.6906,193.0471,192.4945,54.5356,54.8159,55.2752,51.1299
2019-05-28,54.25,55.1,53.88,54.47,5576263.0,191.1189,192.4886,192.4611,54.661,54.8418,55.1848,51.0963
2019-05-29,53.96,54.82,52.775,54.38,1448356.0,189.9902,191.624,192.3985,54.6963,54.8398,55.1256,51.0597
2019-05-30,54.51,55.7,54.51,55.48,1471241.0,189.3103,190.956,192.3396,54.9194,54.918,55.0946,51.0359
2019-05-31,54.3,56.42,54.0701,56.06,2904358.0,187.9679,189.9246,192.2461,55.2528,55.0545,55.0986,51.0261
2019-06-03,56.0,56.1,50.25,50.57,4240006.0,186.9578,189.0179,192.1493,55.4411,55.1496,55.076,51.0155
2019-06-04,52.5,53.0,50.735,52.94,2249520.0,188.0558,189.2422,192.1242,54.8986,54.9542,54.9958,50.9915
2019-06-05,53.64,53.94,51.89,53.32,2409681.0,188.8866,189.4797,192.1033,54.6856,54.862,54.9978,50.9716
2019-06-06,53.77,54.94,52.77,54.74,5257994.0,189.2232,189.5554,192.0741,54.7421,54.8691,55.0098,50.9493
2019-06-07,47.02,49.23,45.675,48.16,20954428.0,190.0732,189.9586,192.0701,53.5172,54.3564,54.9212,50.8855
2019-06-10,49.63,49.89,47.6,48.31,5639426.0,191.0942,190.5364,192.0842,52.7112,53.9504,54.8698,50.8159
2019-06-11,48.58,48.9,47.32,47.9,3807689.0,191.4555,190.8349,192.0855,51.8642,53.4912,54.798,50.7436
2019-06-12,47.9,48.45,47.54,48.08,1578520.0,191.838,191.1563,192.0923,51.1055,53.033,54.7132,50.6612
2019-06-13,48.45,48.49,47.61,48.28,2095036.0,192.8766,191.8468,192.1302,50.5243,52.62,54.606,50.5676
2019-06-14,47.81,51.0,47.8,50.78,4208811.0,192.9302,192.0633,192.1422,50.63,52.4727,54.5316,50.484
2019-06-17,50.9,53.3645,50.8,52.75,3103865.0,193.725,192.6544,192.1842,51.2377,52.5538,54.5119,50.4091
2019-06-18,53.19,54.2,52.66,53.51,3024183.0,194.954,193.5194,192.2535,51.896,52.7034,54.5119,50.34
2019-06-19,53.56,53.8799,52.125,53.09,1755222.0,196.0998,194.4053,192.3348,52.3368,52.8104,54.5057,50.2724
2019-06-20,54.0,54.96,53.7,54.87,2727583.0,197.2496,195.3405,192.4303,52.9198,53.0058,54.5253,50.2204
2019-06-21,54.25,54.87,52.65,52.83,3092318.0,197.8182,195.9978,192.5168,53.3532,53.1753,54.4855,50.1662
2019-06-24,52.95,53.38,50.86,51.01,2730987.0,196.822,195.7854,192.5474,53.3591,53.1939,54.4259,50.1038
2019-06-25,50.95,51.57,49.73,49.83,1790919.0,195.6796,195.3507,192.5586,52.9615,53.0463,54.3401,50.0621
2019-06-26,50.16,50.65,49.49,49.49,2086196.0,194.7465,194.9016,192.5629,52.4479,52.8284,54.2201,50.017
2019-06-27,49.65,51.14,49.55,50.65,2625999.0,195.5328,195.3022,192.623,52.1572,52.6749,54.1225,49.9815
2019-06-28,50.69,51.085,49.23,49.71,6188818.0,196.6044,195.9287,192.7042,51.919,52.5304,54.0344,49.963
2019-07-01,50.53,51.16,49.52,50.65,1896995.0,197.8037,196.7057,192.8035,51.7503,52.4058,53.9876,49.931
2019-07-02,50.84,51.86,50.21,51.34,1835249.0,198.2272,197.1363,192.8865,51.7747,52.3562,53.9375,49.9028
2019-07-03,51.44,51.8,50.65,51.65,1287753.0,199.0669,197.7927,192.9906,51.7803,52.3056,53.8625,49.8853
2019-07-05,50.91,52.2,50.7,52.16,1292914.0,199.6102,198.3207,193.0927,51.8736,52.296,53.7815,49.8719
2019-07-08,52.0,52.235,51.33,51.65,1199087.0,199.3425,198.4092,193.1684,51.9539,52.2905,53.6734,49.866
2019-07-09,51.46,52.52,51.27,52.0,2480752.0,199.3586,198.5877,193.2508,52.0797,52.3113,53.5648,49.8631
2019-07-10,52.34,53.0,51.34,51.35,1999791.0,199.5903,198.8542,193.3409,52.2842,52.3739,53.4574,49.8647
2019-07-11,51.76,53.88,51.745,53.8,2353545.0,199.4018,198.8852,193.4162,52.6388,52.5109,53.3962,49.8675
2019-07-12,53.85,53.9,52.5301,53.2,1210923.0,199.7478,199.1679,193.5092,52.9191,52.6371,53.3258,49.8753
2019-07-15,53.5,54.17,52.9,54.05,845917.0,199.8498,199.3289,193.5959,53.1971,52.7765,53.2791,49.8776
2019-07-16,54.0,54.09,53.32,53.62,953888.0,199.8221,199.4085,193.6776,53.3955,52.8959,53.2263,49.878
2019-07-17,54.28,54.3,52.39,52.77,1720907.0,199.4442,199.2776,193.744,53.5965,53.0235,53.1779,49.8807
2019-07-18,52.51,53.3,52.41,53.05,2874303.0,199.5682,199.3755,193.8244,53.5306,53.0487,53.1339,49.8821
2019-07-19,53.49,53.49,52.16,52.42,1180658.0,199.1826,199.2002,193.8852,53.5216,53.0888,53.1241,49.8845
2019-07-22,52.68,52.97,52.02,52.37,2029414.0,198.9354,199.0622,193.9455,53.399,53.078,53.1035,49.9032
2019-07-23,52.51,53.23,52.21,52.94,836827.0,199.0575,199.1058,194.0165,53.3615,53.0918,53.0905,49.9307
2019-07-24,52.67,54.53,52.53,54.35,1211667.0,200.1845,199.7117,194.128,53.6211,53.2226,53.1457,49.9656
2019-07-25,54.3,54.3,52.23,52.47,2386533.0,200.065,199.7325,194.2035,53.772,53.3205,53.1749,50.0069
2019-07-26,52.81,54.78,52.67,54.68,2809139.0,200.8297,200.2101,194.3115,53.996,53.4532,53.1925,50.0558
2019-07-29,54.68,54.694,52.36,53.9,1370571.0,200.9273,200.3759,194.4017,54.1511,53.566,53.18,50.1043
2019-07-30,53.55,54.41,53.18,54.15,1190155.0,201.5893,200.8373,194.5145,54.2086,53.6427,53.1714,50.1662
2019-07-31,54.17,54.2,51.3,51.72,1981357.0,201.5062,200.9287,194.6049,54.2067,53.6934,53.1816,50.2289
2019-08-01,51.73,53.0,49.52,49.93,2106668.0,200.8736,200.6887,194.6711,53.9386,53.6303,53.1428,50.2689
2019-08-02,49.86,50.07,48.25,48.8,1533340.0,199.6043,200.0299,194.7029,53.0789,53.3067,53.0386,50.2935
2019-08-05,47.0,47.33,43.93,44.7,4647102.0,196.743,198.3918,194.6541,51.8014,52.7633,52.9052,50.2901
2019-08-06,45.59,46.275,44.12,44.59,2990370.0,195.5577,197.4455,194.6347,50.5733,52.1735,52.7355,50.2807
2019-08-07,44.0,45.39,43.25,45.04,2439575.0,194.8829,196.7342,194.6201,49.4214,51.5568,52.5413,50.2662
2019-08-08,45.83,46.45,44.11,46.36,3181187.0,195.749,196.87,194.658,48.7611,51.0926,52.3739,50.2659
2019-08-09,45.92,46.53,44.63,45.33,1900557.0,195.4986,196.5296,194.6625,48.2653,50.6778,52.1905,50.2801
2019-08-12,44.88,45.1,43.9,44.21,1545546.0,194.4807,195.787,194.6331,47.5619,50.1707,51.9641,50.2942
