,1. open,2. high,3. low,4. close,5. volume,IWO_5d_EMA,IWO_10d_EMA,IWO_150d_EMA,EMA_8,EMA_21,SMA_50,SMA_200
2020-05-13,77.86,79.3,73.12,76.57,4333098.0,182.4181,181.3136,187.5375,77.1171,72.4766,61.5504,64.0577
2020-05-12,77.0,80.63,75.31,76.15,4514351.0,184.4392,181.9665,187.6605,76.4934,71.7943,61.179,64.1307
2020-05-11,77.05,78.35,76.15,76.23,2418245.0,184.9017,181.6225,187.7161,75.3116,70.9107,60.7858,64.2051
2020-05-08,76.55,77.96,75.0,76.7,3464212.0,182.638,179.8877,187.6931,74.4435,70.1668,60.4192,64.28
2020-05-07,74.0,76.75,73.66,75.49,5661630.0,179.9594,178.086,187.6891,73.4387,69.3875,60.049,64.3295
2020-05-06,71.94,73.62,69.32,72.44,4492886.0,178.8741,177.1873,187.7637,72.4926,68.6512,59.7192,64.3929
2020-05-05,74.27,75.0,70.88,71.59,3743180.0,178.4161,176.609,187.8707,72.1705,68.1543,59.4426,64.4673
2020-05-04,68.35,73.67,67.81,73.43,3899618.0,177.9234,175.9884,187.9844,71.3621,67.4698,59.1276,64.5216
2020-05-01,66.28,70.19,65.8,69.21,2997771.0,178.6381,175.8761,188.1387,70.7027,66.8497,58.907,64.5242
2020-04-30,69.28,69.28,67.12,67.66,2216753.0,180.5367,176.1061,188.3171,70.8492,66.5157,58.8228,64.531
2020-04-29,71.0,71.6,68.19,69.28,6111394.0,180.0189,174.8914,188.4077,71.2976,66.2393,58.7884,64.55
2020-04-28,74.0,74.71,68.39,70.13,4634072.0,175.722,171.8422,188.4049,71.2112,65.7032,58.682,64.5635
2020-04-27,73.0,75.0,72.02,73.6,4360219.0,173.2299,169.8724,188.5083,70.2115,64.8025,58.5044,64.566
2020-04-24,69.0,74.65,68.895,72.0,9725058.0,170.1391,167.7526,188.6304,68.8434,63.7828,58.3284,64.5659
2020-04-23,68.06,69.96,68.0,68.91,3064956.0,168.4206,166.4585,188.8324,67.1843,62.6961,58.1454,64.5651
2020-04-22,67.67,69.31,67.23,68.07,3734368.0,167.5257,165.6247,189.0824,66.3913,61.9697,58.083,64.5613
2020-04-21,68.66,70.5,62.77,66.07,6950252.0,167.1094,165.0173,189.3606,65.5574,61.2357,57.974,64.5733
2020-04-20,64.87,70.2,64.39,68.43,6529901.0,167.9438,164.9232,189.6817,64.1452,60.3092,57.8384,64.5571
2020-04-17,64.46,65.62,63.25,64.74,4139739.0,166.8902,163.7836,189.9451,62.4153,59.3201,57.694,64.5435
2020-04-16,62.0,64.45,61.54,63.45,5002061.0,164.7421,162.1386,190.1969,61.4996,58.6902,57.6776,64.5405
2020-04-15,59.34,62.64,58.73,61.82,4196854.0,164.9007,161.6305,190.5429,60.6567,58.1142,57.6752,64.5669
2020-04-14,59.99,62.0,58.5,60.89,6485718.0,165.1685,161.0228,190.8943,60.09,57.6616,57.6516,64.5956
2020-04-13,58.0,59.37,57.36,58.77,2867117.0,162.4235,158.8816,191.1659,59.5443,57.2278,57.6716,64.6106
2020-04-09,60.48,60.79,57.5,58.15,3752874.0,160.7157,157.3355,191.5058,59.5941,57.0135,57.7354,64.6384
2020-04-08,59.65,60.88,59.05,60.32,4337540.0,156.4065,154.6691,191.8034,59.2524,56.6359,57.7552,64.6794
2020-04-07,59.45,61.3,57.75,59.6,7472839.0,153.1093,152.8176,192.1901,58.7874,56.2115,57.7304,64.7369
2020-04-06,59.08,60.53,58.66,59.07,5008134.0,151.609,152.086,192.6743,58.0695,55.7026,57.6676,64.8
2020-04-03,55.85,59.25,55.85,57.82,4555900.0,149.229,151.1342,193.1617,57.3665,55.2199,57.718,64.8885
2020-04-02,54.51,56.92,54.11,56.69,3058704.0,151.345,152.498,193.8082,56.8284,54.8169,57.7862,64.9912
2020-04-01,54.0,56.55,53.53,54.58,3113910.0,152.6668,153.3417,194.4136,56.8022,54.6066,57.9286,65.1001
2020-03-31,57.03,60.03,55.26,55.68,4925797.0,155.6005,154.7955,195.0528,56.8743,54.4122,58.0654,65.1674
2020-03-30,58.81,59.83,56.27,57.72,4449457.0,154.6486,154.1936,195.5568,55.9727,53.8504,58.1388,65.2212
2020-03-27,57.02,59.87,56.02,58.79,3826133.0,152.6533,153.2057,196.0523,54.8706,53.2525,58.1972,65.2704
2020-03-26,55.84,59.1,55.04,58.64,5840860.0,151.607,152.8634,196.6067,53.4422,52.5907,58.2392,65.306
2020-03-25,56.0,59.5,55.6,55.78,5517240.0,146.9806,151.0864,197.0866,51.8257,51.9398,58.2704,
2020-03-24,54.92,58.65,54.28,57.33,8087964.0,144.3974,150.8508,197.6898,49.633,51.1838,58.2752,
2020-03-23,46.24,53.0,46.01,51.45,11127193.0,141.1385,150.8365,198.3176,47.0567,50.4371,58.2682,
2020-03-20,49.955,51.97,46.81,49.01,14253612.0,142.8881,153.7692,199.1321,45.3586,50.1809,58.3532,
2020-03-19,40.43,44.49,38.2,41.74,7442733.0,145.5026,157.3492,199.9572,43.4696,50.0019,58.431,
2020-03-18,35.76,41.47,35.5,38.63,6349968.0,147.5114,160.8746,200.7421,43.1781,50.5531,58.6712,
